Implement,GivenName,LastName,Initials,OfficeName,Description,Mail,StreetAddress,City,PostalCode,State,Country,Company,Department,EmployeeID,ExtensionAttribute1,Title,Phone,Manager,ProfilePath,ScriptPath,HomeDirectory,HomeDrive,Password,PasswordNeverExpires,Enabled,TargetOU,ProxyAddresses
Yes,Herb,Hill,H,St Catherines Cream,Human Working Drone,HHill@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Executive,BYE1007,7007,Admin,(905) 228-0036,Rmorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!HHill,FALSE,TRUE,"U=Users,OU=Staff,OU=HumanResources,OU=Manager",SMTP:CHECK;SMTP:CHECK1001
Yes,Alberta,Morris,A,St Catherines Cream,Human Working Drone,AMorris@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE1001,7001,Drone,(905) 228-0036,Hhill,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!AMorris,FALSE,TRUE,"U=Users,OU=Staff,OU=Retail,OU=Manager",SMTP:CHECK;SMTP:CHECK1001
Yes,Brian,Morris,B,St Catherines Cream,Human Working Drone,BMorris@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Sales,BYE1002,7002,Drone,(905) 228-0036,HHill,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!BMorris,FALSE,TRUE,"U=Users,OU=Staff,OU=Sales,OU=Manager",SMTP:CHECK;SMTP:CHECK1001
Yes,Carl,Morris,C,St Catherines Cream,Human Working Drone,CMorris@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,CustomerService,BYE1003,7003,Drone,(905) 228-0036,HHill,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!CMorris,FALSE,TRUE,"U=Users,OU=Staff,OU=CustomerService,OU=Manager",SMTP:CHECK;SMTP:CHECK1001
Yes,Dom,Morris,D,St Catherines Cream,Human Working Drone,DMorris@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Marketing,BYE1004,7004,Drone,(905) 228-0036,HHill,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!DMorris,FALSE,TRUE,"U=Users,OU=Staff,OU=Marketing,OU=Manager",SMTP:CHECK;SMTP:CHECK1001
Yes,Erik,Morris,E,St Catherines Cream,Human Working Drone,EMorris@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Accounting,BYE1005,7005,Drone,(905) 228-0036,HHill,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!EMorris,FALSE,TRUE,"U=Users,OU=Staff,OU=Accounting,OU=Manager",SMTP:CHECK;SMTP:CHECK1001
Yes,Fred,Morris,F,St Catherines Cream,Human Working Drone,FMorris@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,HumanResources,BYE1006,7006,Drone,(905) 228-0036,HHill,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!FMorris,FALSE,TRUE,"U=Users,OU=Staff,OU=HumanResources,OU=Manager",SMTP:CHECK;SMTP:CHECK1001
Yes,Lou,Scannon,L,St Catherines Cream,Human Working Drone,LScannon@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE001,6001,CEO,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!LScannon,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK2
Yes,Lisa,Smith,L,St Catherines Cream,Human Working Drone,LSmith@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE002,6002,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!LSmith,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK3
Yes,Michelle,Johnson,M,St Catherines Cream,Human Working Drone,MJohnson@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE003,6003,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!MJohnson,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK4
Yes,Morty,Williams,M,St Catherines Cream,Human Working Drone,MWilliams@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE004,6004,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!MWilliams,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK5
Yes,Kimberly,Brown,K,St Catherines Cream,Human Working Drone,KBrown@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE005,6005,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!KBrown,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK6
Yes,Melissa,Jones,M,St Catherines Cream,Human Working Drone,MJones@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE006,6006,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!MJones,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK7
Yes,Amy,Miller,A,St Catherines Cream,Human Working Drone,AMiller@breezeyob.com,Main St.,St. Catherines, L2R 3N1,Ontario,Canada,Breezeyob.com,Retail,BYE007,6007,Drone,(905) 228-0036,AMorris,\\scWinServer01\Profile\%username%,\\scWinServer01\Script\logon.vbs,\\scWinServer01\Home\%username%,H:,sc1!AMiller,FALSE,TRUE,"OU=Users,OU=Staff,OU=Retail",SMTP:CHECK;SMTP:CHECK8
